loc,long,lat,region,date,type,descr,deaths,death_stat,source
Cigota,19.77375725,43.64812672,Serbia,4/20/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Cigota,19.77375725,43.64812672,Serbia,4/27/1999,military units,,0,,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Conoplja,19.24705056,45.79865298,Serbia,4/7/1999,industry,refinery,0,,Bela Knjiga
Conoplja,19.24705056,45.79865298,Serbia,4/7/1999,industry,refinery,0,,Bela Knjiga
Conoplja,19.24705056,45.79865298,Serbia,4/8/1999,industry,refinery,0,,Bela Knjiga
Conoplja,19.24705056,45.79865298,Serbia,4/12/1999,industry,refinery,0,,Bela Knjiga
Conoplja,19.24705056,45.79865298,Serbia,5/24/1999,industry,refinery,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Cot,19.74930369,45.17540517,Serbia,6/4/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Crmljane,20.4764,42.4725,Kosovo,4/7/1999,military facility,,1,military,FHP
Crni Lug,21.88292444,42.47123608,Serbia,5/31/1999,military units,,1,military,FHP
Crni Vrh,22.58128665,43.40521587,Serbia,4/6/1999,communications,,0,,Bela Knjiga
Crni Vrh,22.58128665,43.40521587,Serbia,4/23/1999,communications,,0,,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Crni Vrh,22.58128665,43.40521587,Serbia,5/8/1999,communications,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Crni Vrh,22.58128665,43.40521587,Serbia,5/26/1999,communications,relay,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Crni Vrh,22.58128665,43.40521587,Serbia,5/28/1999,communications,relay,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Crni Vrh,22.58128665,43.40521587,Serbia,5/30/1999,communications,relay,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Crni Vrh,22.58128665,43.40521587,Serbia,6/2/1999,communications,relay,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Crnoljevo,20.9629,42.4563,Kosovo,5/11/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Crnoljevo,20.9629,42.4563,Kosovo,5/15/1999,military units,,3,police,FHP
Crveni cot,19.7027,45.1506,Serbia,4/6/1999,communications,,0,,Bela Knjiga
Crveno selo,19.62913576,46.07514975,Serbia,5/1/1999,communications,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Cukarica,20.413,44.7862,Serbia,5/17/1999,industry,refinery,0,,http://www.prviprvinaskali.com/clanci/dren/ekologija/hronologija-nato-bombardovanja-srj.html
Cuprija,21.37088177,43.93340766,Serbia,4/8/1999,civilian,,1,civilian,Bela Knjiga
