county,id,okrug,okrug_id,year,vote_milosevic,vote_opposition,vote_srs,turnout,bombed,year00,employed_per_1000inh,pop_per_doctor,refugees_perc_pop,minorpc91,femalepc91,pop_chng_98_02,irp,urbanpc91,age20_34pc,illiterate_pc,allen_vincent_2011
MLADENOVAC,78,BEOGRAD,0,1992,30.48532588,19.54008385,22.92910685,75.83,1,0,222,507,0.050772314,0.039351647,0.50598521,-0.067673179,0.084902309,0.413183422,0.194322728,0.024137931,0
NEGOTIN ,79,BORSKI,14,1992,33.67432285,19.54255935,12.16303159,64.87,1,0,157,470,0.01365033,0.044560856,0.515768792,-0.251413793,0.008931034,0.291445557,0.173729789,0.053641347,0
NIS,80,NISAVSKI,20,1992,26.55302127,14.46131023,26.74110572,77.29,1,0,346,175,0.025355694,0.075497972,0.505306172,-0.003904573,0.0372167,0.722935706,0.205865447,0.019084457,0
NOVA CRNJA,81,SREDNJOBANATSKI,2,1992,25.46792167,15.44952937,21.62717732,85.91,0,0,197,617,0.067203192,0.32425368,0.514850803,-0.085971223,0.004028777,0,0.169775679,0.047068083,0
NOVA VAROS,82,ZLATIBORSKI,16,1992,21.01546738,11.66778749,32.96906523,75.49,1,0,261,529,0.018521915,0.115899505,0.506005868,-0.074907407,0.001805556,0.477902072,0.186417776,0.050945851,0
NOVI BECEJ,83,SREDNJOBANATSKI,2,1992,24.32371506,14.80500451,22.92605951,82.85,0,0,220,829,0.045296651,0.339968042,0.513506936,-0.02801444,0.000974729,0.535549143,0.186376467,0.022136384,0
NOVI BEOGRAD,84,BEOGRAD,0,1992,27.07792255,21.36630325,17.72519117,76.59,1,0,239,564,0.127219014,0.210824154,0.508486131,-0.068550043,0.018130881,1,0.211132693,0.005409302,1
NOVI KNEZEVAC,85,SEVERNOBANATSKI,3,1992,21.99977119,13.40807688,20.76421462,85.02,0,0,250,519,0.062029531,0.460263463,0.51173063,-0.009541985,0.002671756,0.58377987,0.184508671,0.021965318,0
NOVI PAZAR,86,RASKI,18,1992,28.88958398,8.645605255,34.56990929,29.01,1,0,210,484,0.014838884,0.776372743,0.496190476,-0.063224401,0.04208061,0.608453851,0.229103679,0.039246011,0
NOVI SAD,87,JUZNOBACKI,6,1992,18.80032662,18.83906806,25.63431657,75.84,1,0,407,196,0.173918121,0.346728747,0.522333613,0.073507891,0.01097561,0.812424868,0.22033853,0.012626381,1
OBRENOVAC,88,BEOGRAD,0,1992,2.660251515,23.87352986,21.85224785,73,1,0,192,657,0.094626534,0.0618931,0.501580431,0.002471751,0.056694915,0.315801464,0.204804509,0.030588235,1
ODZACI,89,ZAPADNOBACKI,5,1992,37.22927862,9.802963687,32.93030451,84.58,0,0,240,700,0.112157009,0.206714488,0.510905503,-0.025150685,0.002547945,0.281756613,0.187735372,0.043561351,0
